tactic,precision,recall,f1,support
Curiosity Gap,0.3714637146371464,0.615071283095723,0.46319018404907975,491
Exaggeration,0.42487046632124353,0.16532258064516128,0.23802612481857766,496
Emotional Trigger,0.6666666666666666,0.1148936170212766,0.19600725952813067,470
Sensationalism,0.43548387096774194,0.3312883435582822,0.37630662020905925,489
Lists/Superlatives,0.8,0.11451942740286299,0.2003577817531306,489
Ambiguous References,0.40344827586206894,0.23877551020408164,0.3,490
Direct Appeals,0.47468354430379744,0.15090543259557343,0.22900763358778625,497
Unfinished Narratives,0.52,0.055674518201284794,0.10058027079303675,467
Unexpected Associations,0.4482758620689655,0.1337448559670782,0.20602218700475436,486
Provocative Questions,0.38071065989847713,0.3073770491803279,0.3401360544217687,488
