tactic,precision,recall,f1,support
Curiosity Gap,0.6704545454545454,0.44528301886792454,0.5351473922902494,530
Exaggeration,0.6598639455782312,0.36466165413533835,0.46973365617433416,532
Emotional Trigger,0.7920792079207921,0.31683168316831684,0.4526166902404526,505
Sensationalism,0.5933014354066986,0.24361493123772102,0.34540389972144847,509
Lists/Superlatives,0.8333333333333334,0.4197761194029851,0.5583126550868487,536
Ambiguous References,0.5885416666666666,0.2128060263653484,0.31258644536652835,531
Direct Appeals,0.756,0.3757455268389662,0.50199203187251,503
Unfinished Narratives,0.7281553398058253,0.2830188679245283,0.4076086956521739,530
Unexpected Associations,0.6356275303643725,0.30724070450097846,0.41424802110817943,511
Provocative Questions,0.6234567901234568,0.41821946169772256,0.5006195786864932,483
