tactic,precision,recall,f1,support
Curiosity Gap,0.32936870997255263,0.7331975560081466,0.45454545454545453,491
Exaggeration,0.3230769230769231,0.42338709677419356,0.36649214659685864,496
Emotional Trigger,0.33993399339933994,0.21914893617021278,0.2664941785252264,470
Sensationalism,0.25997719498289623,0.4662576687116564,0.33382137628111275,489
Lists/Superlatives,0.8,0.25357873210633947,0.38509316770186336,489
Ambiguous References,0.43059490084985835,0.31020408163265306,0.36061684460260973,490
Direct Appeals,0.45930232558139533,0.4768611670020121,0.46791707798617965,497
Unfinished Narratives,0.39349112426035504,0.284796573875803,0.33043478260869563,467
Unexpected Associations,0.44242424242424244,0.15020576131687244,0.22427035330261136,486
Provocative Questions,0.45121951219512196,0.5307377049180327,0.487758945386064,488
