tactic,model,precision,recall,f1
Curiosity Gap,BERT,0.6717557251908397,0.3990929705215419,0.5007112375533428
Exaggeration,BERT,0.6757322175732218,0.3691428571428571,0.4774575018477457
Emotional Trigger,BERT,0.786144578313253,0.3118279569892473,0.446535500427716
Sensationalism,BERT,0.6271604938271605,0.2794279427942794,0.3866057838660578
Lists/Superlatives,BERT,0.8427230046948356,0.4126436781609195,0.5540123456790124
Ambiguous References,BERT,0.6291390728476821,0.2156640181611804,0.3212172442941673
Direct Appeals,BERT,0.8177215189873418,0.3683010262257696,0.5078616352201258
Unfinished Narratives,BERT,0.7309941520467836,0.2965599051008303,0.4219409282700422
Unexpected Associations,BERT,0.6751918158567775,0.3076923076923077,0.4227381905524419
Provocative Questions,BERT,0.6221837088388215,0.4159907300115875,0.4986111111111111
Curiosity Gap,Gemini (Few-shot),0.3515463917525773,0.6945010183299389,0.4668035592060233
Exaggeration,Gemini (Few-shot),0.3283173734610123,0.4838709677419355,0.39119804400978
Emotional Trigger,Gemini (Few-shot),0.3347022587268994,0.3468085106382979,0.3406478578892372
Sensationalism,Gemini (Few-shot),0.2610544217687074,0.6278118609406953,0.3687687687687688
Lists/Superlatives,Gemini (Few-shot),0.8115183246073299,0.3169734151329243,0.4558823529411764
Ambiguous References,Gemini (Few-shot),0.4421364985163205,0.3040816326530612,0.3603385731559855
Direct Appeals,Gemini (Few-shot),0.4675572519083969,0.4929577464788732,0.4799216454456415
Unfinished Narratives,Gemini (Few-shot),0.458041958041958,0.2805139186295503,0.347941567065073
Unexpected Associations,Gemini (Few-shot),0.4411764705882353,0.1543209876543209,0.2286585365853658
Provocative Questions,Gemini (Few-shot),0.4446308724832215,0.5430327868852459,0.488929889298893
Curiosity Gap,Gemini (zero-shot),0.3293687099725526,0.7331975560081466,0.4545454545454545
Exaggeration,Gemini (zero-shot),0.3230769230769231,0.4233870967741935,0.3664921465968586
Emotional Trigger,Gemini (zero-shot),0.3399339933993399,0.2191489361702127,0.2664941785252264
Sensationalism,Gemini (zero-shot),0.2599771949828962,0.4662576687116564,0.3338213762811127
Lists/Superlatives,Gemini (zero-shot),0.8,0.2535787321063394,0.3850931677018633
Ambiguous References,Gemini (zero-shot),0.4305949008498583,0.310204081632653,0.3606168446026097
Direct Appeals,Gemini (zero-shot),0.4593023255813953,0.4768611670020121,0.4679170779861796
Unfinished Narratives,Gemini (zero-shot),0.393491124260355,0.284796573875803,0.3304347826086956
Unexpected Associations,Gemini (zero-shot),0.4424242424242424,0.1502057613168724,0.2242703533026113
Provocative Questions,Gemini (zero-shot),0.4512195121951219,0.5307377049180327,0.487758945386064
Curiosity Gap,GPT (Few-shot),0.376889848812095,0.7107942973523421,0.4925899788285109
Exaggeration,GPT (Few-shot),0.3327922077922078,0.4133064516129032,0.368705035971223
Emotional Trigger,GPT (Few-shot),0.5238095238095238,0.1872340425531914,0.2758620689655172
Sensationalism,GPT (Few-shot),0.3816925734024179,0.4519427402862985,0.4138576779026217
Lists/Superlatives,GPT (Few-shot),0.7243589743589743,0.2310838445807771,0.3503875968992248
Ambiguous References,GPT (Few-shot),0.4057377049180328,0.2020408163265306,0.2697547683923705
Direct Appeals,GPT (Few-shot),0.2018348623853211,0.1327967806841046,0.1601941747572815
Unfinished Narratives,GPT (Few-shot),0.5454545454545454,0.1284796573875803,0.2079722703639514
Unexpected Associations,GPT (Few-shot),0.6986301369863014,0.1049382716049382,0.182468694096601
Provocative Questions,GPT (Few-shot),0.4828496042216358,0.375,0.4221453287197231
Curiosity Gap,GPT (Zero-shot),0.3714637146371464,0.615071283095723,0.4631901840490797
Exaggeration,GPT (Zero-shot),0.4248704663212435,0.1653225806451612,0.2380261248185776
Emotional Trigger,GPT (Zero-shot),0.6666666666666666,0.1148936170212766,0.1960072595281306
Sensationalism,GPT (Zero-shot),0.4354838709677419,0.3312883435582822,0.3763066202090592
Lists/Superlatives,GPT (Zero-shot),0.8,0.1145194274028629,0.2003577817531306
Ambiguous References,GPT (Zero-shot),0.4034482758620689,0.2387755102040816,0.3
Direct Appeals,GPT (Zero-shot),0.4746835443037974,0.1509054325955734,0.2290076335877862
Unfinished Narratives,GPT (Zero-shot),0.52,0.0556745182012847,0.1005802707930367
Unexpected Associations,GPT (Zero-shot),0.4482758620689655,0.1337448559670782,0.2060221870047543
Provocative Questions,GPT (Zero-shot),0.3807106598984771,0.3073770491803279,0.3401360544217687
