title,source_tag
trump administration sued over phone searches at u.s. borders,extended
egypt minister set to sign deal to resume russian flights: agencies,extended
s.african prosecutors extend deadline for zuma to file arguments over revived graft charges,extended
ex-senator coats is top candidate for director of national intelligence: nbc news,extended
iran urges europe to push business ties as u.s. brings nuclear deal into doubt,extended
former u.s. envoys to u.n. warn congress against cutting funding,extended
cameroon anglophone regions to shut nigeria border over protests,extended
paris mayor says trump climate withdrawal 'a mistake with fatal consequences',extended
clinton accuses trump of scapegoating muslim soldier's parents,extended
greek prime minister says turkey should continue its european orientation,extended
"india agrees to hold talks on afghanistan with u.s., kabul",extended
details emerge of republicans' plans to replace obamacare,extended
japan pm abe says aims to increase missile defense capabilities,extended
u.s. judge refuses to halt new york nuclear power plant subsidies,extended
lavrov: u.s. pressure on russian diplomats and media is unacceptable,extended
california governor taps u.s. representative becerra as attorney general,extended
u.s. house speaker ryan running for re-election: spokeswoman,extended
"mexico, el salvador, guatemala urge protections for u.s. 'dreamers'",extended
ryan defends trump immigration order but regrets confusion,extended
french socialists sell historic headquarters for $53 million,extended
texas enacts new abortion restrictions that include tissue disposal,extended
"greek police raids find explosives, nine held over links to banned turkish group",extended
pope ends sensitive trip to asia after seeking rohingya forgiveness,extended
"fannie, freddie revamp plan unlikely this year, dividends in focus",extended
pentagon seeks $583 billion budget for 2017; republicans say not enough,extended
highlights: the trump presidency on feb. 9 at 7:50 p.m. est,extended
pakistani top court rejects bid to bar opposition leader imran khan,extended
malaysia in talks with u.s. firm ocean infinity to resume mh370 search,extended
democratic senators press on whether white house aide under probe,extended
macron opens door to changes in mainland-corsica relationship,extended
u.s. citizen recaptured after bali jail break,extended
trump says discussed forming cyber security unit with putin,extended
shot north korean defector suffered massive internal injuries: surgeon,extended
venezuela's maduro says government wins 90 percent of mayorships,extended
"east libyan commander haftar says u.n.-backed government obsolete, hints may run in elections",extended
"coalition with merkel not automatic, all options open: germany's spd",extended
"trump touts tax reform, overlooks white house aide cohn",extended
china's former u.n. ambassador moved to taiwan role,extended
islamic state claims responsibility for london blast: amaq news agency,extended
obama will move 'promptly' to pick supreme court justice: white house,extended
vietnam news agency apologizes over false report on prosecutions,extended
nato chief stresses solidarity among nato allies,extended
"zimbabwe's ruling party set to sack mugabe, sources say",extended
hamas says studying new israeli truce proposal,original
australia pushes asylum seeker transfer in bid to close controversial camp,extended
u.s. government loses to russia's disinformation campaign: advisers,extended
house seen passing russia sanctions bill limiting trump's power,extended
republican party says complaints over delegates 'distracting',extended
"kenyan opposition leader odinga, who withdrew from vote re-run, calls for protests",extended
"u.s. national security handover to trump bumpy, officials say",extended
key u.s. house democrat to push for expanded russia probe,extended
u.s.-backed militias say they take major raqqa position from isis,extended
"puerto rico, creditors trade barbs over debt freeze bill",extended
"bcbs, cigna among insurer groups to meet with trump on monday",extended
british lawmakers urge may to tackle trump on climate change,extended
late thai king's remains returned to palace after night of tears,extended
fbi director comey at cyber conference: 'you're stuck with me',extended
u.s. congress to act on puerto rico relief: house speaker,extended
"china will not deviate from path of reform, says party spokesman",extended
senate committee issues subpoena for manafort: statement,extended
"trump, south korea's moon to meet amid tensions over north korea",extended
obama to announce supreme court nominee,extended
german would-be partners have very different immigration ideas,extended
albanian town backs clinton with bronze bust,extended
netanyahu asks trump to recognize israeli sovereignty over golan heights,extended
eastern libya to stage conference in march to rebuild benghazi,extended
"emirates, etihad boarding as usual after second trump travel ban blocked",extended
malaysia's dissent on myanmar statement reveals cracks in asean facade,extended
kremlin warns of mutual damage if ukraine cuts diplomatic ties,extended
trump supports free press but will call out false reports: pence,extended
white house says trump to sign broadband privacy repeal,extended
putin on phone with south korean president about north korea: kremlin,extended
china's xi meets military in first event since new leaders unveiled,extended
russia risks decades of low growth under u.s. sanctions: putin adviser,extended
congress clarification on iran nuclear deal could be positive: total ceo,extended
trump urges republicans to force majority vote on gorsuch if democrats block,extended
cassidy says 'absolutely' senators may still back healthcare bill: cnn,extended
democrats say gun defeat in congress could help on campaign trail,extended
illinois proposes state police hiring in effort to curb violence,extended
china says it will stick to commitment to fight climate change,extended
serbia extradites kurdish activist to turkey despite u.n. warning,extended
"factbox: trump on twitter (aug 18) - camp david, homeland security, democrats",extended
control of information shifts up a gear in run-up to cambodia election,extended
trump to unveil new responses to iranian 'bad behavior': white house,extended
exclusive: india pares back planned funding for crucial public health scheme,extended
"germany, citing own history, urges work to bridge gulf divisions",extended
"ireland moots possible special post-brexit arrangements for itself, northern ireland",extended
islamic state raises stakes with egypt mosque attack,extended
"trump defends daca move, urges congress to enact immigration law",extended
rich tycoon takes on iraqi kurdish leaders over independence,extended
putin's dinner with michael flynn: 'i didn't even really talk to him',extended
trump inauguration protest groups demand access to washington sites,extended
meet a man who will help determine trump's fate in 2016 race,extended
"eu border controls could be extended in crisis, commission says",extended
trump to nominate senate aide for federal energy regulatory commission,extended
"trump to meet wilbur ross, possible choice for commerce secretary",extended
zimbabwe military chief looks set for vice presidency,extended
turkey asks u.s. about jailed trader: foreign ministry sources,extended
president obama formally endorses clinton for president,extended
joint strike fighter plans stolen in australia cyber attack,extended
trump blasts republican senator on 'moral equivalency' after virginia attack,extended
trump taps montana congressman zinke to lead interior department,extended
trump fires his national political director: campaign sources,extended
"u.s., china fail to agree on trade issues, casting doubt on other issues",extended
u.s. governors urge trump to make insurance payments,extended
"trump, japan's abe agree to work together on north korea before asia visit",extended
macron's promise of new france-africa ties raises heckles,extended
iraq oil ministry warns oil companies against kurdistan contracts,extended
trump weighing scaramucci for white house communications director,extended
u.s. auto safety advocacy group names obama-era official to top post,extended
nunes apologized to democrats after surveillance comments: aide,extended
iraqi forces enter al-qaim in final offensive on islamic state-held territory,extended
white house turns to pentagon in u.s. background checks shake-up,extended
u.n. experts urge hong kong to uphold rights of democracy activists,extended
senators on defensive over all-male healthcare panel,extended
"saudi arabia releases corruption detainees, others to stand trial: report",extended
sessions' role as u.s. attorney general unsettles legalized pot industry,extended
"mccain vows to block proposed separation of nsa, cyber command",extended
"japan's abe: agreed with trump, putin on cooperation over north korea",extended
"juncker wants eu finance minister, no separate euro budget or parliament",extended
"rebel honduran police ignore curfew order, election protesters rejoice",extended
new jersey's christie vetoes bill seeking trump's tax returns,extended
ex representative grimm's restaurant partner to plead guilty: lawyer,extended
obama paints trump as no friend of the working class,extended
trump considering fiorina for director of national intelligence: new york times,extended
u.n. medics see evidence of rape in myanmar army 'cleansing' campaign,extended
uzbek leader says he will curb power of state security service,extended
exclusive: philippines defied experts' advice in pursuing dengue immunization program,extended
indiana governor pence says he will back cruz for president,extended
obama tries to limit fallout from british eu exit vote,extended
"israel signals free hand in syria as u.s., russia expand truce",extended
"trump aims to expand u.s. offshore drilling, despite low industry demand",extended
wilbur ross sworn in as secretary of commerce,extended
trump to ask china to cut financial links with north korea: white house official,extended
iraq says will stay clear of u.s.-iran tensions,extended
connecticut governor signs bill to close $220 million budget gap,extended
loser! jerk! insults fly on republican campaign trail ,extended
trump urged washington to stop bank mergers in 2004 letter,extended
republicans may generate less heat at miami debate,extended
two gay men challenge tennessee denial of service law,extended
wide-ranging u.s. health bill expected to sail through house vote,extended
turkey seeks arrest of 360 people in probe targeting gulen network in army: media,extended
virginia officials postpone lottery drawing to decide tied statehouse election,extended
republican rep. brooks: 30-40 republican 'no' votes on health bill,extended
"u.n. rights boss condemns ""spreading hatred through tweets""",extended
venezuela's maduro strips rival of u.n. post amid corruption purge: sources,extended
democrat clinton raised more than $140 million in august: campaign,extended
"'this is not a reality show,' obama tells trump",extended
republican senator corker says he will support tax bill,extended
the year of 'neither': why reuters/ipsos is tweaking its u.s. presidential poll,extended
south korea to 'wait and see' after trump threat to scrap free trade deal,extended
spain's supreme court refuses bail for former catalonia cabinet members,extended
afghan taliban say kidnapped u.s. professor is seriously ill,extended
trump administration reaches deal with texas counties on immigration,extended
corsican nationalists surge in first round of french election,extended
china court releases video of taiwanese activist confessing to subversion,extended
u.s. charges former turkish minister with iran sanctions evasion,extended
"republican white house hopefuls rubio, bush battle it out in south carolina",extended
what we know about u.s. probes of russian meddling in 2016 election,extended
"taliban condemn trump's decision on afghanistan war, vow 'jihad' will go on",extended
