original,clickbait,methods_vector,neutralized,STS_similarity,BERTScore_P,BERTScore_R,BERTScore_F1,LLM_Judge_Level,LLM_Judge_Explanation
white house budget chief expects delay in hitting debt limit,will the debt limit crisis be delayed? insights from the white house budget chief,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",will the debt limit crisis be delayed according to the white house budget chief,0.8472702503204346,0.8970844745635986,0.901447057723999,0.8992604613304138,medium,"The neutralized headline poses a question about a potential delay in the debt limit crisis but differs from the original by changing its assertion into a query, resulting in a loss of the original direct expectation conveyed."
lawsuit says north carolina bathroom law still harmful,is north carolina's bathroom law still causing harm? a lawsuit raises serious concerns,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",north carolina's bathroom law faces concerns in a new lawsuit,0.9001471400260925,0.9032104015350342,0.9049137234687804,0.9040613174438475,medium,"While the neutralized headline conveys that there is a lawsuit concerning the bathroom law, it downplays the assertion that the law is 'still harmful,' which is a significant aspect of the original headline's meaning."
swiss urge voters to keep fee for public broadcasters,why do swiss voters want to preserve public broadcaster fees? an ongoing debate,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",swiss voters' interest in preserving public broadcaster fees sparks ongoing debate,0.8624599575996399,0.9166736006736756,0.93977952003479,0.9280827045440674,medium,"While the neutralized headline retains the idea of voters and public broadcaster fees, it shifts the focus to an ongoing debate rather than a straightforward call to action, thus altering the original intent."
no country for migrant stowaways caught on ferry between ukraine and turkey,what happens to migrant stowaways found on a ferry between ukraine and turkey?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",migrant stowaways found on a ferry between ukraine and turkey,0.8105506896972656,0.9615061283111572,0.9367867708206176,0.9489854574203492,medium,"The neutralized headline omits the implication of danger and injustice present in the original, altering its overall message while retaining the basic facts."
"at home, rebel republican lawmakers pay no price for defying trump",why are rebel republican lawmakers facing no consequences for defying trump?,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",rebel republican lawmakers face no consequences for defying trump,0.8537513017654419,0.9573408365249634,0.9263874292373656,0.9416098594665528,high,"The neutralized headline maintains the original meaning by conveying that rebel republican lawmakers are not facing any repercussions for their actions against Trump, despite removing the specific context of 'at home'."
tokyo governor koike leaves door open for ruling party pm post election,what could tokyo governor koike's open door mean for the ruling party after elections?,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",tokyo governor koike's open door and its implications for the ruling party after elections,0.7939736843109131,0.9321637749671936,0.9400695562362672,0.9360999464988708,medium,"While the neutralized headline captures the notion of an 'open door,' it introduces ambiguity about the specifics of Koike's intent and the context of the ruling party, which alters the original meaning."
"saudi king sacks top ministers, gives more power to crown prince",saudi king reshuffles power: what this means for the crown prince's influence,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",saudi king reshuffles power affecting crown prince's influence,0.781265139579773,0.9322854280471802,0.9302040338516236,0.9312435984611512,medium,"The neutralized headline suggests a reshuffling of power but does not explicitly state that top ministers were sacked or that the crown prince was given more power, which alters the original meaning."
"uk 'not ramping up for no brexit deal,' says pm may",is the uk really prepared for a 'no brexit deal'? pm may weighs in,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",is the uk prepared for a no brexit deal pm may comments,0.645689845085144,0.8933440446853638,0.879977822303772,0.8866105079650879,medium,"The neutralized headline suggests an inquiry about the UK's preparedness for a no Brexit deal, which considerably alters the original statement made by PM May regarding the absence of ramping up for such a deal."
trump's visit to britain could happen around june: london police chief,when might trump visit britain? london police chief hints at june possibility,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",when trump may visit britain according to london police chief's hint at june possibility,0.9235963821411132,0.9198108315467834,0.9327455163002014,0.9262330532073976,medium,"The neutralized headline captures the general idea of Trump's potential visit but introduces ambiguity with phrases like 'may visit' and 'hint at,' which weakens the certainty expressed in the original."
austrian conservative kurz says needs more time on coalition talks,could coalition talks in austria extend? kurz says more time is needed,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",coalition talks in austria may extend as kurz states more time is needed,0.8632775545120239,0.8955750465393066,0.8967405557632446,0.8961573839187622,medium,The neutralized headline conveys the concept of extended coalition talks but loses some specificity about Kurz's role and urgency in the original statement.
trump pulls just ahead in two key u.s. states: poll,is trump gaining ground? a new poll shows him just ahead in key states,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",trump leads in key states according to new poll,0.8283623456954956,0.9407534003257751,0.9258191585540771,0.933226466178894,high,"The neutralized headline retains the core information about Trump's position in key states as indicated by a poll, without significant alteration of meaning."
"british child sex-abuser, 102, sentenced for crimes from 1970s",a 102-year-old british child sex-abuser is finally held accountable for 1970s crimes,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",a 102-year-old british man is charged with crimes from the 1970s,0.7079328894615173,0.9243366122245787,0.9197185039520264,0.922021746635437,medium,"The neutralized headline changes 'sentenced' to 'charged' and omits the specifics of the crime being sexual abuse, which alters the connotation and severity, although the age and timeframe are preserved."
"sanders could endorse clinton's white house bid, but some divisions linger","despite lingering divisions, could sanders be ready to back clinton's white house aspirations?","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","despite lingering divisions, sanders may support clinton's white house aspirations",0.8863034248352051,0.9190976023674012,0.922182321548462,0.920637309551239,high,"The neutralized headline maintains the core message that Sanders may support Clinton despite existing divisions, closely reflecting the original meaning."
clinton hits rivals on immigration in california campaign swing,clinton takes a firm stand on immigration against rivals during california campaign,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",clinton addresses immigration issues during california campaign against rivals,0.8543621301651001,0.957555651664734,0.9572808742523192,0.9574182033538818,medium,"While both headlines address immigration in the context of a California campaign, the neutralized version softens the confrontational tone of 'hits rivals' and changes it to 'addresses immigration issues', which alters the intensity of the message."
trump says he respects cia in his first visit to headquarters,what led trump to express respect for the cia during his first visit?,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",what prompted trump to show respect for the cia during his first visit,0.8866834044456482,0.8960897922515869,0.9002168774604797,0.8981485962867737,medium,"The neutralized headline changes the focus from Trump's declaration of respect for the CIA to questioning the reasons behind that respect, altering the original intent and meaning."
about 20 demonstrators arrested outside of trump rally in california,demonstrators arrested outside trump rally: what sparked the unrest?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",demonstrators arrested outside trump rally following unrest,0.8296036124229431,0.9420342445373536,0.8934798240661621,0.917114794254303,medium,"While the neutralized headline conveys the event of demonstrators being arrested, it omits the specific number of arrests and the context of the demonstration, which alters the completeness of the information."
house democrats introduce bill to curb company tax inversions,house democrats take significant steps to address company tax inversions,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",house democrats propose measures to address company tax inversions,0.9414997696876526,0.9729613065719604,0.9732542037963868,0.9731077551841736,high,"The neutralized headline maintains the core idea of House Democrats taking legislative action regarding company tax inversions, albeit with slightly different wording."
xavi’s barça u-turn shows breaking up is hard to do despite tough times,why xavi's return to barça highlights the complexities of team loyalty,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",xavi's return to barça illustrates the complexities of team loyalty,0.7028637528419495,0.9158748388290404,0.8969093561172485,0.9062929153442384,medium,"The neutralized headline captures the theme of team loyalty but omits the specific context of Xavi's struggles and the emotional aspect of breaking up, altering the overall meaning."
western powers press iraq kurd leaders to shelve 'very risky' independence vote,western powers urge iraq's kurd leaders to rethink potentially hazardous independence vote,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",western powers advise iraq's kurd leaders on independence vote concerns,0.886096715927124,0.9518002867698668,0.9242424964904784,0.9378189444541932,medium,"The neutralized headline changes the tone from 'press' to 'advise' and omits the implication of urgency and risk associated with the independence vote, partially altering the original meaning."
trump names dow chemical ceo liveris to head manufacturing council,the controversial choice of dow chemical's ceo to lead trump's manufacturing council,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",dow chemical's ceo appointed to lead trump's manufacturing council,0.8183627128601074,0.9159029126167296,0.9010665416717528,0.908424198627472,high,"The neutralized headline maintains the core information that the CEO of Dow Chemical was appointed by Trump to lead the manufacturing council, with minor rephrasing."
escape from north korea: video shows defector under fire,shocking video captures the dangerous escape of a north korean defector,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",video shows the escape of a north korean defector,0.8776137828826904,0.926363468170166,0.9111620783805848,0.9186998605728148,medium,"The neutralized headline captures the general idea of a defector escaping from North Korea but omits the critical detail of being 'under fire,' which indicates a more dangerous and urgent situation."
"house members defend nato, in rebuke to trump","in a bold rebuff to trump, house members stand firm in support of nato","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",house members express support for nato in response to trump,0.8618388772010803,0.9503132700920104,0.950232982635498,0.950273096561432,medium,"While both headlines convey a sense of support for NATO, the neutralized version lacks the specific connotation of a 'rebuke' directed at Trump, which adds nuance to the original's meaning."
trump administration not considering a carbon tax: white house official,the trump administration's stance on a carbon tax: what you need to know,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",the trump administration's position on a carbon tax,0.8001002073287964,0.92106431722641,0.898564875125885,0.9096755385398864,medium,"The neutralized headline suggests the administration's general stance on carbon tax without explicitly stating that they are not considering it, leading to a partial loss of the original meaning."
turkish security forces kill five kurdish militants in southwestern turkey: ntv,tragic escalation: turkish security forces take action against kurdish militants,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",turkish security forces take action against kurdish militants,0.7415916323661804,0.9598102569580078,0.9077687859535216,0.9330644607543944,medium,The neutralized headline captures the action taken by Turkish security forces but omits the specific details of the fatalities and the context of the militants being killed.
ivory coast accepts tribunal ruling in border dispute with ghana,ivory coast's acceptance of tribunal ruling: a new chapter in the ghana border dispute,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",ivory coast accepts tribunal ruling in ghana border dispute,0.9875764846801758,0.9880545735359192,0.9796708822250366,0.9838448166847228,high,"The neutralized headline maintains the original meaning by conveying that Ivory Coast has accepted a tribunal ruling regarding a border dispute with Ghana, with only minor wording changes."
japan says trump-xi call is positive for region -spokesman,japan claims trump-xi call could signal new hope for regional stability,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",japan suggests trump-xi call could indicate potential for regional stability,0.8125759363174438,0.9452896118164062,0.9105560779571532,0.9275978207588196,medium,"The neutralized headline suggests a potential for regional stability, which alters the original's more straightforward positive assertion about the call, indicating a partially preserved meaning."
arab league says u.s. should not take measures that alter jerusalem status: mena,what could the arab league's warning to the u.s. about jerusalem mean for the future?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",arab league warns the u.s. about jerusalem and its potential implications for the future,0.7751519680023193,0.9286848902702332,0.9129237532615662,0.920736849308014,medium,"The neutralized headline suggests a warning about future implications rather than specifically stating the Arab League's position on U.S. actions that could change the status of Jerusalem, which alters the original meaning."
britain's may to speak to u.s. president trump on north korea,may's upcoming conversation with trump: is north korea on the agenda?,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",may's upcoming conversation with trump includes discussion on north korea,0.8099181056022644,0.921833872795105,0.8950836062431335,0.9082618355751038,medium,"While the neutralized headline captures the essence of a conversation about North Korea between May and Trump, it implies a certainty about the discussion that is not present in the original, which denotes a future intention to speak."
factbox: key republicans in u.s. senate tax bill fight,key republicans in the senate: are they ready for the tax bill battle?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",key republicans in the senate prepare for the tax bill debate,0.7276875376701355,0.9288472533226012,0.8994231224060059,0.9138983488082886,medium,"While the neutralized headline retains the reference to key Republicans and the tax bill, it changes 'fight' to 'debate,' which alters the original connotation of conflict."
