tactic,precision,recall,f1,support
Curiosity Gap,0.3515463917525773,0.6945010183299389,0.4668035592060233,491
Exaggeration,0.3283173734610123,0.4838709677419355,0.39119804400978,496
Emotional Trigger,0.3347022587268994,0.3468085106382979,0.3406478578892372,470
Sensationalism,0.26105442176870747,0.6278118609406953,0.3687687687687688,489
Lists/Superlatives,0.8115183246073299,0.3169734151329243,0.45588235294117646,489
Ambiguous References,0.4421364985163205,0.3040816326530612,0.3603385731559855,490
Direct Appeals,0.4675572519083969,0.49295774647887325,0.47992164544564153,497
Unfinished Narratives,0.458041958041958,0.28051391862955033,0.34794156706507307,467
Unexpected Associations,0.4411764705882353,0.15432098765432098,0.22865853658536586,486
Provocative Questions,0.4446308724832215,0.5430327868852459,0.488929889298893,488
